label,gloss,accuracy,support
25,apple,0.9999999999996666,3
492,score,0.9999999999996666,3
174,delay,0.9999999999996666,3
22,animal,0.9999999999995,2
574,thirsty,0.9999999999995,2
45,balance,0.9999999999995,2
47,ball,0.9999999999995,2
578,tie,0.9999999999995,2
40,baby,0.9999999999995,2
438,possible,0.9999999999995,2
96,california,0.9999999999995,2
461,reason,0.9999999999995,2
488,scared,0.9999999999995,2
485,sandwich,0.9999999999995,2
493,secret,0.9999999999995,2
72,blanket,0.9999999999995,2
548,study,0.9999999999995,2
520,son,0.9999999999995,2
552,sunset,0.9999999999995,2
587,topic,0.9999999999995,2
228,face,0.9999999999995,2
317,important,0.9999999999995,2
305,home,0.9999999999995,2
312,humble,0.9999999999995,2
279,graduate,0.9999999999995,2
335,language,0.9999999999995,2
173,deer,0.9999999999995,2
334,know,0.9999999999995,2
140,color,0.9999999999995,2
358,love,0.9999999999995,2
343,learn,0.9999999999995,2
354,list,0.9999999999995,2
370,meet,0.9999999999995,2
385,move,0.9999999999995,2
404,office,0.9999999999995,2
589,town,0.9999999999995,2
268,giraffe,0.9999999999995,2
633,wind,0.9999999999995,2
639,wow,0.9999999999995,2
1,about,0.9999999999995,2
315,ice cream,0.9999999999995,2
198,dollar,0.9999999999995,2
291,halloween,0.9999999999995,2
295,headache,0.9999999999995,2
10,age,0.9999999999995,2
210,easter,0.9999999999995,2
239,find,0.9999999999995,2
249,football,0.9999999999995,2
102,candy,0.6666666666664445,3
611,walk,0.6666666666664445,3
157,cousin,0.6666666666664445,3
340,laugh,0.6666666666664445,3
81,bowling,0.6666666666664445,3
501,shirt,0.6666666666664445,3
557,take turns,0.49999999999975,2
560,teach,0.49999999999975,2
70,bitter,0.49999999999975,2
80,bottom,0.49999999999975,2
77,boss,0.49999999999975,2
76,bored,0.49999999999975,2
511,slow,0.49999999999975,2
513,smart,0.49999999999975,2
539,straight,0.49999999999975,2
538,story,0.49999999999975,2
59,because,0.49999999999975,2
56,bear,0.49999999999975,2
547,student,0.49999999999975,2
63,beginning,0.49999999999975,2
490,science,0.49999999999975,2
496,sentence,0.49999999999975,2
561,teacher,0.49999999999975,2
563,tell,0.49999999999975,2
567,thank you,0.49999999999975,2
38,awful,0.49999999999975,2
46,bald,0.49999999999975,2
43,bad,0.49999999999975,2
585,tomato,0.49999999999975,2
49,banana,0.49999999999975,2
579,tiger,0.49999999999975,2
604,violin,0.49999999999975,2
594,travel,0.49999999999975,2
597,ugly,0.49999999999975,2
542,strawberry,0.49999999999975,2
54,bath,0.49999999999975,2
514,smile,0.49999999999975,2
516,snow,0.49999999999975,2
537,store,0.49999999999975,2
532,stare,0.49999999999975,2
593,translate,0.49999999999975,2
592,transfer,0.49999999999975,2
641,wrong,0.49999999999975,2
642,year,0.49999999999975,2
620,wednesday,0.49999999999975,2
622,weekend,0.49999999999975,2
605,visit,0.49999999999975,2
29,argue,0.49999999999975,2
19,analyze,0.49999999999975,2
613,war,0.49999999999975,2
610,wait,0.49999999999975,2
615,water,0.49999999999975,2
124,child,0.49999999999975,2
434,please,0.49999999999975,2
435,plus,0.49999999999975,2
440,potato,0.49999999999975,2
449,professional,0.49999999999975,2
444,present,0.49999999999975,2
